Feature,Total,Frequent,Chi_square,City
tx,350,134,1185.15389394,Houston
dc,1734,684,1625.09227174,Washington
jolla,63,63,200.245186928,SanDiego
congress,57,28,201.929009173,Washington
texans,26,23,206.245628366,Houston
boston,537,4,207.719182783,SanDiego
care,2053,750,208.139322281,Washington
rappublicist,51,50,208.251398878,Houston
verified,6,1,208.251398878,Houston
#hr,92,83,216.426746504,Seattle
status,176,20,217.147752494,Houston
twitter,2040,585,218.816641341,SanDiego
alley,276,31,219.434135494,Houston
lt,9140,2234,220.294794014,SanDiego
boston,537,515,2219.441681,Boston
exponentially,7,3,222.201859297,Houston
#ctc,17,14,225.347271586,Washington
nnete,10,8,225.6689142,Houston
houston,265,5,226.514084135,SanDiego
snitch,6,2,230.08690309,Boston
lanes,53,9,230.601128157,Houston
estate,303,159,231.114151361,SanDiego
#hcr,141,94,232.217838341,Washington
#dc,125,124,246.471068141,Washington
djladyblaze,64,64,250.128056062,Washington
seattle,600,5,251.354123624,SanDiego
san,2495,285,256.548179371,Houston
seattle,600,580,2729.91732474,Seattle
cambridge,8,7,278.559706999,Boston
afghanistan,13,11,280.154113135,Washington
#sandiego,271,266,280.741432181,SanDiego
hotel,316,108,285.953591561,SanDiego
house,1320,266,286.184415299,Washington
bill,781,358,289.53777867,Washington
added,364,104,289.697657521,Seattle
san,2495,301,292.842064145,Washington
repair,116,61,304.190551014,Houston
san,2495,368,310.291817897,Seattle
interior,37,17,311.913351701,Houston
#sdut,349,349,319.561339516,SanDiego
houston,265,249,3236.71434849,Houston
diego,797,1,326.528221979,Houston
texas,67,42,329.710230027,Houston
#media,99,86,332.18367505,Washington
san,2495,369,337.014105742,Boston
senate,27,16,337.142441757,Washington
available,591,95,342.884412888,Boston
#seattle,116,114,344.628906211,Seattle
#noisemachine,77,76,345.254018504,Washington
bellevue,12,12,345.67379809,Seattle
va,7983,1491,348.344454973,Washington
diego,797,1,352.549467895,Washington
san,2495,1172,3743.92739305,SanDiego
bed,1117,274,388.009875618,Boston
diego,797,18,410.837579722,Seattle
diego,797,2,438.145878896,Boston
diego,797,775,4769.3349073,SanDiego
obama,101,43,519.412867666,Washington
#tcot,498,285,533.560547488,Washington
chargers,205,202,558.826488542,SanDiego
washington,111,81,574.5691533,Washington
bath,186,41,604.35220771,Boston
#ebay,167,167,656.161575625,Seattle
sox,257,244,747.630300446,Boston
sd,3410,1763,814.504995906,SanDiego
ca,34998,8649,827.801136882,SanDiego
wa,31436,6379,849.958683256,Seattle
#p2,403,320,896.7253006,Washington
