Feature,Total,Frequent,Chi_square,City
houston,265,249,3236.71434849,Houston
#rippimpc,13,13,95.5772255321,Houston
katy,39,11,109.267020868,Houston
kirtsy,13,13,71.0001050357,Houston
crashing,26,0,136.534007582,Houston
gulf,8,3,85.8892989253,Houston
reuters,47,36,123.247614713,Houston
hobby,55,43,81.3079471039,Houston
texas,67,42,329.710230027,Houston
gratis,36,4,125.000602064,Houston
#epicpetwars,20,20,143.000469957,Houston
da,33557,5147,127.446971263,Houston
traffic,387,43,89.6928224653,Houston
shoulder,84,14,115.042417189,Houston
earn,1840,281,91.521542041,Houston
careerbuilder,2,0,112.333867301,Houston
ganar,11,10,194.001293993,Houston
rockets,29,15,81.3079471039,Houston
bamboo,22,10,166.048449928,Houston
dis,3240,419,87.4001363444,Houston
paso,8,1,87.4001363444,Houston
maxim,92,7,83.0002547962,Houston
see,6271,1116,72.1309814982,Houston
computer,491,154,117.689180928,Houston
insurance,210,51,98.749076798,Houston
#hchit,12,12,109.000171741,Houston
joell,2,0,75.8961875356,Houston
stitch,15,4,88.1112474555,Houston
stuholden22,18,17,109.000171741,Houston
bullion,6,6,126.500410036,Houston
iguana,2,2,109.000171741,Houston
dinero,21,20,195.236103672,Houston
dental,125,36,139.744478062,Houston
ghostface,2,0,75.2748640062,Houston
free,2722,420,71.5705562519,Houston
coffeegroundz,12,12,111.000354202,Houston
wordhealys,11,10,109.000171741,Houston
tx,350,134,1185.15389394,Houston
exponentially,7,3,222.201859297,Houston
modal,2,1,100.333803291,Houston
escapade,2,1,109.000171741,Houston
repair,116,61,304.190551014,Houston
hometown,35,6,94.7860167409,Houston
ca,34998,5433,78.2151828697,Houston
cosmetic,35,10,80.6431119391,Houston
melodytx,3,3,83.0002547962,Houston
devin,16,0,75.8961875356,Houston
rappublicist,51,50,208.251398878,Houston
station,274,51,101.908855945,Houston
call,2895,455,81.3379307588,Houston
northbound,5,0,193.039755532,Houston
royce,4,0,75.2748640062,Houston
bmc,13,4,109.000171741,Houston
lanes,53,9,230.601128157,Houston
successful,205,27,73.8116416965,Houston
bun,651,99,100.333803291,Houston
dentistry,8,7,95.5772255321,Houston
killah,2,0,88.067076703,Houston
hottie,31,8,94.1003024552,Houston
eastbound,6,0,108.100171741,Houston
ud,7748,1189,110.071782773,Houston
san,2495,285,256.548179371,Houston
texans,26,23,206.245628366,Houston
